March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
515,28,400,0.004
516,27,400,0.0034
517,39,400,0.0031
518,40,400,0.0027
519,60,400,0.0022
520,66,400,0.0022
521,76,400,0.002
522,73,400,0.002
523,74,400,0.002
524,57,400,0.0021
525,43,400,0.0021
526,41,400,0.0022
527,43,400,0.0022
528,54,400,0.0023
529,50,400,0.0024
530,64,400,0.0026
531,87,400,0.0025
532,92,400,0.0022
533,88,400,0.0025
534,64,400,0.0033
535,55,400,0.0024
536,49,400,0.0021
537,38,400,0.0018
538,27,400,0.0018
539,23,400,0.0016
540,21,400,0.0014
541,27,400,0.0013
542,26,400,0.0012
543,36,400,0.0011
544,33,400,0.0011
545,35,400,0.0011
546,42,400,0.0012
547,42,400,0.0012
548,45,400,0.0012
549,51,400,0.0012
550,55,400,0.0012
551,56,400,0.0012
552,58,400,0.0012
553,54,400,0.0014
554,53,400,0.0014
555,59,400,0.0014
556,67,400,0.0017
557,38,400,0.0018
558,29,400,0.0019
559,23,400,0.002
560,24,400,0.002
561,30,400,0.0018
562,24,400,0.0018
563,24,400,0.0016
564,24,400,0.0013
565,24,400,0.0013
566,22,400,0.0011
567,22,400,0.0009
568,29,400,0.0009
569,24,400,0.0008
570,28,400,0.0009
571,28,400,0.001
572,31,400,0.0013
573,37,400,0.0014
574,39,400,0.0015
575,38,400,0.0018
576,44,400,0.0022
577,43,400,0.0026
578,43,400,0.0029
579,44,400,0.0035
580,42,400,0.0038
581,40,400,0.0041
582,33,400,0.0039
583,41,400,0.0044
584,34,400,0.0044
585,37,400,0.0039
586,32,400,0.0031
587,35,400,0.0026
588,41,400,0.0019
589,37,400,0.0015
590,34,400,0.0012
591,36,400,0.0012
592,41,400,0.0011
593,42,400,0.0011
594,45,400,0.0011
595,42,400,0.0012
596,46,400,0.0012
597,45,400,0.0014
598,51,400,0.0019
599,51,400,0.0023
600,48,400,0.0026
601,40,400,0.0031
602,45,400,0.0033
603,45,400,0.0041
604,54,400,0.0047
605,61,400,0.005
606,60,400,0.0052
607,74,400,0.0049
608,80,400,0.0049
609,80,400,0.0047
610,48,400,0.0051
611,57,400,0.0049
612,52,400,0.0048
613,49,400,0.0048
614,44,400,0.005
615,40,400,0.0053
616,51,400,0.0059
617,56,400,0.0059
618,57,400,0.0059
619,74,400,0.0064
620,73,400,0.0059
621,73,400,0.0064
622,70,400,0.0064
623,60,400,0.0064
624,44,400,0.0063
625,43,400,0.0066
626,45,400,0.0066
627,42,400,0.0066
628,40,400,0.0068
629,42,400,0.0068
630,41,400,0.0068
631,44,400,0.0068
632,44,400,0.0066
633,49,400,0.0066
634,48,400,0.0073
635,54,400,0.007
636,44,400,0.007
637,52,400,0.0068
638,47,400,0.0073
639,39,400,0.007
640,42,400,0.0073
641,38,400,0.0073
642,33,400,0.0073
643,36,400,0.0073
644,39,400,0.007
645,27,400,0.0068
646,24,400,0.007
647,22,400,0.007
648,20,400,0.0075
649,24,400,0.0077
650,22,400,0.0077
651,28,400,0.008
652,24,400,0.0077
653,22,400,0.0077
654,21,400,0.0077
655,26,400,0.0083
656,33,400,0.008
657,35,400,0.008
658,45,400,0.008
659,31,400,0.008
660,28,400,0.0077
661,30,400,0.0077
662,34,400,0.008
663,25,400,0.0077
664,30,400,0.0074
665,34,400,0.0072
666,31,400,0.0072
667,24,400,0.0072
668,28,400,0.0072
669,23,400,0.007
670,24,400,0.007
671,19,400,0.0061
672,15,400,0.0059
673,10,400,0.0061
674,12,400,0.0061
675,14,400,0.0063
676,17,400,0.0059
677,14,400,0.0059
678,14,400,0.0059
679,18,400,0.0059
680,19,400,0.0057
681,28,400,0.0055
682,32,400,0.0055
683,29,400,0.0053
684,32,400,0.005
685,28,400,0.0048
686,29,400,0.0048
687,30,400,0.0046
688,30,400,0.0043
689,38,400,0.0039
690,43,400,0.0042
691,48,400,0.0042
692,45,400,0.0045
693,51,400,0.0046
694,62,400,0.0046
695,69,400,0.005
696,65,400,0.0051
697,54,400,0.0059
698,45,400,0.0059
699,40,400,0.0063
700,34,400,0.0063
701,34,400,0.0065
702,31,400,0.0065
703,22,400,0.0067
704,24,400,0.0067
705,27,400,0.0058
706,29,400,0.0057
707,32,400,0.0051
708,32,400,0.0044
709,32,400,0.0039
710,32,400,0.0036
711,28,400,0.0034
712,34,400,0.0033
713,37,400,0.0033
714,42,400,0.0036
715,49,400,0.0043
716,54,400,0.0048
717,54,400,0.0048
718,59,400,0.0047
719,54,400,0.0056
720,54,400,0.0058
721,61,400,0.0064
722,64,400,0.0068
723,65,400,0.007
724,64,400,0.007
725,62,400,0.0067
726,66,400,0.0065
727,56,400,0.0061
728,59,400,0.0055
